model,9gan,diffusion,forensynths_test
clip,0.9640000000000001,0.5184166666666667,0.9838279569892473
dinov2,0.922111111111111,0.40058333333333335,0.9489462365591399
mae,0.9565185185185185,0.5065833333333334,0.9583655913978495
vit,0.9308148148148149,0.44699999999999995,0.9581720430107528
