model,protocol,domain,file,macro_acc,macro_bestacc,macro_auc,macro_ap,weighted_images,weighted_acc,weighted_auc,weighted_ap
mae,alllora,diffusion,test_mae_detailed_20260130_023252(alllora+mlp+uni).log,0.6043,0.7869,0.8676,0.8736,16000,0.6043,0.8676,
mae,alllora,forensynths_test,test_mae_detailed_20260130_023953(alllora+transmlp+test).log,0.7075,0.8876,0.9391,0.943,62003,0.6965,0.94,
mae,alllora,9gan,test_mae_detailed_20260130_025339(alllora+transmlp+9gan).log,0.5435,0.8872,0.9468,0.9462,36000,0.5435,0.9468,
mae,alllora,diffusion,test_mae_detailed_20260130_031353(alllora+transmlp+uni).log,0.6061,0.7841,0.8607,0.8641,16000,0.6061,0.8607,
mae,frozen_linear,forensynths_test,test_mae_linear_probe_detailed_20260131_063911(frozen+linear+test).log,0.6934,0.8287,0.8885,0.8861,62003,0.674,0.8652,
mae,frozen_linear,9gan,test_mae_linear_probe_detailed_20260131_104823(frozen+linear+9gan).log,0.5398,0.8312,0.8909,0.8851,36000,0.5398,0.8909,
mae,frozen_linear,diffusion,test_mae_linear_probe_detailed_20260131_105744(frozen+linear+uni).log,0.6891,0.8016,0.8742,0.87,16000,0.6891,0.8742,
mae,frozen_mlp,forensynths_test,test_mae_linear_probe_detailed_20260202_021436(frozen+mlp+test).log,0.7041,0.8509,0.9088,0.9123,62003,0.6924,0.8997,
mae,frozen_mlp,9gan,test_mae_linear_probe_detailed_20260202_022453(frozen+mlp+9gan).log,0.5505,0.8468,0.9048,0.9048,36000,0.5505,0.9048,
mae,frozen_mlp,diffusion,test_mae_linear_probe_detailed_20260202_022911(frozen+mlp+uni).log,0.6494,0.7824,0.8639,0.8591,16000,0.6494,0.8639,
vit,alllora,9gan,10test_vit_all_lora_20260203_062943(alllora+linear+9gan).log,0.7303,0.8823,0.9298,0.9351,36000,0.7303,0.9298,0.9351
vit,alllora,forensynths_test,11test_vit_full_lora_20260204_093332(alllora+mlp+test).log,0.718,0.8528,0.9109,0.9201,62003,0.7081,0.9165,0.9258
vit,alllora,9gan,12test_vit_full_lora_20260204_101052(alllora+mlp+9gan).log,0.7045,0.8506,0.9014,0.9063,36000,0.7045,0.9014,0.9063
vit,alllora,forensynths_test,13test_vit_alllora_20260204_104225（alllora+transmlp+test.log,0.7144,0.8732,0.9301,0.9351,62003,0.709,0.9391,0.9438
vit,alllora,9gan,14test_vit_alllora_20260204_120634(alllora+transmlp+9gan).log,0.7123,0.8588,0.9083,0.9171,36000,0.7123,0.9083,0.9171
vit,frozen_linear,forensynths_test,15test_vit_linear_20260204_123456(frozen+linear+test.log,0.6806,0.7177,0.7832,0.787,62003,0.6651,0.7756,0.7781
vit,frozen_linear,9gan,16test_vit_linear_20260204_132001(frozen+linear+9gan).log,0.6278,0.6846,0.7446,0.7399,36000,0.6278,0.7446,0.7399
vit,frozen_mlp,forensynths_test,17test_vit_mlphead_20260204_125230(frozen+mlp head test).log,0.6475,0.7393,0.7991,0.8092,62003,0.6418,0.7966,0.8131
vit,frozen_mlp,9gan,18test_vit_mlphead_20260204_132001(frozen+mlp head 9gan).log,0.5826,0.6853,0.7433,0.7455,36000,0.5826,0.7433,0.7455
vit,lora,forensynths_test,1test_vit_detailed_20260201_020543(lora+linear+test).log,0.693,0.8732,0.9294,0.9336,62003,0.677,0.9278,0.9333
vit,lora,9gan,2test_vit_detailed_20260201_023234(lora+linear+9gan).log,0.6625,0.8688,0.9216,0.9241,36000,0.6625,0.9216,0.9241
vit,lora,diffusion,3test_vit_detailed_20260201_025700(lora+linear+uni).log,0.5387,0.6816,0.7418,0.7389,16000,0.5387,0.7418,0.7389
vit,lora,forensynths_test,4test_vit_detailed_20260203_035141(lora+mlp+test).log,0.7091,0.8658,0.9265,0.9314,62003,0.6866,0.9263,0.9327
vit,lora,9gan,5test_vit_detailed_20260203_040947(lora+mlp+9gan).log,0.7354,0.8755,0.9272,0.9295,36000,0.7354,0.9272,0.9295
vit,lora,diffusion,6test_vit_detailed_20260203_042956(lora+mlp+uni).log,0.5475,0.6944,0.7457,0.751,16000,0.5475,0.7457,0.751
vit,lora,forensynths_test,7test_vit_mlp_20260203_043900(lora+transmlp+test).log,0.6846,0.8675,0.928,0.9305,62003,0.6635,0.9344,0.9367
vit,lora,9gan,8test_vit_mlp_20260203_054823(lora+transmlp+9gan).log,0.6779,0.8548,0.9094,0.913,36000,0.6779,0.9094,0.913
vit,alllora,forensynths_test,9test_vit_all_lora_20260203_060502(alllora+linear+test).log,0.7056,0.8717,0.9299,0.9343,62003,0.6824,0.9307,0.9354
